NAICS,Industry,Empl,Avg Ann Wages,LQ,Empl Change,Ann %,Total Demand,Exits,Transfers,Empl Growth,Ann % Growth
812112,Beauty Salons ,609,22467,1.89,52,0.018,72,32,40,-1,-0.001
238212,Nonresidential electrical contractors,567,80272,1.45,62,0.023,49,19,30,0,0
457110,Gasoline Stations with Convenience Stores ,564,35308,1.24,54,0.02,81,45,48,-12,-0.021
621210,Offices of Dentists ,561,67986,1.03,37,0.014,52,25,27,0,0
624120,Services for the Elderly and Persons with Disabilities ,561,22758,0.41,244,0.121,87,45,34,8,0.014
441330,Automotive Parts and Accessories Retailers ,554,40322,2.66,64,0.025,58,25,34,-1,-0.003
458110,Clothing and Clothing Accessories Retailers ,534,19814,1.15,-33,-0.012,65,32,38,-5,-0.009
491110,Postal Service,531,73418,1.72,33,0.013,36,21,21,-6,-0.01
722310,Food Service Contractors,525,27372,1.62,66,0.027,84,37,46,0,0
444240,"Nursery, Garden Center, and Farm Supply Retailers ",505,32788,6.21,-14,-0.005,62,29,35,-2,-0.003
524210,Insurance Agencies and Brokerages ,498,84674,0.9,44,0.019,42,19,24,-1,-0.001
921190,Other General Government Support ,493,65087,2.1,-7,-0.003,43,20,26,-2,-0.005
455219,All Other General Merchandise Retailers ,476,24129,1.5,12,0.005,65,31,37,-2,-0.004
444110,Home Centers ,441,31059,1.19,8,0.004,56,26,32,-2,-0.003
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals ,406,80171,2.51,100,0.058,33,15,17,2,0.004
238222,Nonresidential plumbing and HVAC contractors,400,81120,1.23,15,0.008,34,14,21,0,-0.001
611519,Other Technical and Trade Schools ,392,38264,8.05,12,0.006,33,16,18,-1,-0.001
522110,Commercial Banking ,387,88547,0.55,-205,-0.081,31,13,18,-1,-0.003
424490,Other Grocery and Related Products Merchant Wholesalers ,345,64916,2.71,-15,-0.009,36,15,21,-1,-0.002
332321,Metal Window and Door Manufacturing ,333,50689,9.65,162,0.143,31,13,19,-1,-0.003
456110,Pharmacies and Drug Retailers ,317,48741,0.91,-11,-0.007,31,15,18,-2,-0.007
923110,Administration of Education Programs ,311,43108,7.84,58,0.042,27,12,16,-1,-0.004
459110,Sporting Goods Retailers ,304,26020,2.02,41,0.029,36,18,22,-4,-0.012
621420,Outpatient Mental Health and Substance Abuse Centers ,297,53374,1.65,158,0.164,29,12,14,4,0.014
623311,Continuing Care Retirement Communities ,292,39753,1.14,-15,-0.01,40,20,19,1,0.005
541330,Engineering Services,288,97725,0.44,-21,-0.014,21,8,13,0,-0.001
488190,Other Support Activities for Air Transportation,287,75514,3.93,174,0.204,30,13,17,0,-0.001
332710,Machine Shops,283,60941,2.07,-1,-0.001,26,11,16,-1,-0.005
561110,Office Administrative Services,270,96325,0.71,98,0.094,24,10,14,0,0
623312,Assisted Living Facilities for the Elderly ,269,35027,0.99,1,0.001,37,18,18,1,0.005
236220,Commercial and Institutional Building Construction ,258,74152,0.63,10,0.008,20,8,12,0,0
531110,Lessors of Residential Buildings and Dwellings ,255,58588,1.22,28,0.023,24,12,13,0,-0.002
541211,Offices of Certified Public Accountants ,255,90676,0.93,-2,-0.001,21,10,12,-1,-0.003
621498,All Other Outpatient Care Centers ,253,60274,1.64,112,0.125,23,9,10,3,0.013
441340,Tire Dealers ,245,60265,2.42,-21,-0.016,26,11,15,-1,-0.003
531210,Offices of Real Estate Agents and Brokers,244,62473,0.79,-80,-0.055,21,11,11,-1,-0.002
623990,Other Residential Care Facilities ,243,40546,2.63,26,0.023,28,14,15,-1,-0.003
484121,"General Freight Trucking, Long-Distance, Truckload ",242,60525,0.81,-15,-0.012,24,10,14,-1,-0.002
561330,Professional Employer Organizations,239,29201,1.13,-25,-0.02,22,10,14,-2,-0.009
621492,Kidney Dialysis Centers ,229,64891,3.49,47,0.046,21,8,9,3,0.013
722514,"Cafeterias, Grill Buffets, and Buffets ",222,22272,5.03,-94,-0.068,40,18,23,0,-0.002
326211,Tire Manufacturing (except Retreading) ,219,62406,8.71,-100,-0.072,21,8,13,-1,-0.004
485410,School and Employee Bus Transportation,217,33897,1.62,43,0.046,32,22,11,-1,-0.003
713910,Golf Courses and Country Clubs,216,32288,0.94,68,0.079,35,15,20,0,0.001
237310,"Highway, Street, and Bridge Construction ",212,74473,0.75,122,0.186,17,7,10,0,-0.002
327420,Gypsum Product Manufacturing,212,88328,33.53,61,0.07,20,9,12,-1,-0.004
522130,Credit Unions ,212,53480,1.32,-8,-0.008,17,7,10,-1,-0.003
722515,Snack and Nonalcoholic Beverage Bars ,211,19288,0.42,-27,-0.024,39,18,22,0,-0.002
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers ",207,20053,1.68,14,0.014,23,11,14,-2,-0.008
238221,Residential plumbing and HVAC contractors,205,52077,0.52,34,0.037,18,7,11,0,0
236118,Residential Remodelers ,197,43007,0.51,32,0.036,16,6,9,0,0
811111,General Automotive Repair ,194,58264,0.81,-40,-0.037,16,7,10,-1,-0.005
327390,Other Concrete Product Manufacturing ,193,39241,6.59,16,0.017,18,8,11,-1,-0.004
812990,All Other Personal Services ,191,17626,1.16,84,0.124,27,10,16,1,0.004
484122,"General Freight Trucking, Long-Distance, Less Than Truckload ",187,72698,1.43,20,0.023,18,8,11,-1,-0.004
221122,Electric Power Distribution ,185,97854,1.27,47,0.06,16,6,9,0,0.002
424810,Beer and Ale Merchant Wholesalers ,181,104745,3.13,71,0.105,19,8,11,0,-0.002
449210,Electronics and Appliance Retailers ,179,42420,0.9,-53,-0.05,18,8,11,-2,-0.01
722410,Drinking Places (Alcoholic Beverages) ,179,24688,0.83,73,0.111,28,11,17,0,-0.001
713940,Fitness and Recreational Sports Centers ,168,15014,0.44,41,0.057,28,11,16,1,0.005
922140,Correctional Institutions ,168,52219,0.72,-24,-0.027,14,6,9,-1,-0.005
444140,Hardware Retailers ,163,65203,1.83,62,0.101,21,10,12,-1,-0.003
811192,Car Washes ,163,27655,1.53,54,0.085,19,8,11,-1,-0.005
322220,Paper Bag and Coated and Treated Paper Manufacturing,162,72374,5.88,6,0.007,14,7,10,-2,-0.011
541611,Administrative Management and General Management Consulting Services ,161,57544,0.32,-373,-0.213,14,5,8,0,0.003
621910,Ambulance Services ,161,44476,1.6,-30,-0.033,11,4,7,0,-0.002
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,159,76151,2.84,37,0.055,15,6,9,0,-0.001
624110,Child and Youth Services ,159,29845,1.05,-37,-0.041,17,7,9,2,0.011
425120,Wholesale Trade Agents and Brokers ,158,86914,0.65,-40,-0.044,14,6,9,-1,-0.005
813910,Business Associations ,157,70501,2.52,-242,-0.17,14,6,9,-1,-0.004
326122,Plastics Pipe and Pipe Fitting Manufacturing ,156,56325,9.68,19,0.027,16,6,9,0,-0.001
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",154,75791,1.5,-15,-0.018,15,6,9,0,-0.002
541620,Environmental Consulting Services,142,69400,2.44,89,0.218,12,5,7,1,0.004
423830,Industrial Machinery and Equipment Merchant Wholesalers ,140,100389,0.79,-11,-0.014,13,5,8,0,-0.001
482110,Rail Transportation (non-covered),140,101476,1.78,-5,-0.006,11,4,8,-1,-0.005
623220,Residential Mental Health and Substance Abuse Facilities ,140,46536,0.96,3,0.004,15,7,7,1,0.005
811121,"Automotive Body, Paint, and Interior Repair and Maintenance ",140,54731,1.02,-3,-0.004,12,5,7,0,-0.003
322120,Paper Mills ,137,92081,5.52,137,n/a,10,5,8,-3,-0.02
541990,"All Other Professional, Scientific, and Technical Services",135,40085,0.53,65,0.139,11,4,6,0,0
622210,Psychiatric and Substance Abuse Hospitals ,135,55104,1.04,28,0.048,11,6,6,-1,-0.007
541219,Other Accounting Services ,134,56006,0.72,-68,-0.079,11,5,6,0,-0.003
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,133,63528,1.02,20,0.033,12,5,7,0,0.002
922120,Police Protection ,132,116057,0.38,0,0.001,11,5,7,-1,-0.009
323111,Commercial Printing (except Screen and Books) ,131,50138,0.98,-6,-0.01,10,6,8,-3,-0.022
561210,Facilities Support Services,131,27844,1.28,-140,-0.135,15,7,8,0,0
621511,Medical Laboratories ,130,39623,1.11,17,0.028,11,5,6,0,0.001
999999,Unclassified,130,53745,0.97,20,0.034,14,6,8,0,-0.003
531311,Residential Property Managers ,128,52845,0.42,9,0.014,12,6,6,0,-0.002
611710,Educational Support Services,128,45747,0.88,-91,-0.102,13,6,7,1,0.006
311340,Nonchocolate Confectionery Manufacturing,127,39245,8.82,29,0.052,15,6,9,0,-0.003
424690,Other Chemical and Allied Products Merchant Wholesalers ,127,104128,2.05,17,0.028,11,5,7,0,-0.002
561612,Security Guards and Patrol Services ,127,43514,0.3,-144,-0.14,16,7,9,0,-0.001
445132,Vending Machine Operators ,125,54214,6.06,-2,-0.004,18,9,10,-1,-0.007
561621,Security Systems Services (except Locksmiths) ,125,72260,1.59,8,0.014,12,5,7,1,0.005
523150,Investment Banking and Securities Intermediation ,124,286783,0.54,23,0.043,9,4,5,0,0
711510,"Independent Artists, Writers, and Performers ",124,25111,0.62,3,0.004,11,5,6,0,-0.002
561311,Employment Placement Agencies ,121,43902,0.93,-221,-0.188,11,5,7,-1,-0.008
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities ",121,104940,1.48,101,0.437,16,7,9,0,0.001
458210,Shoe Retailers ,119,16629,1.34,-54,-0.072,14,7,8,-1,-0.01
561710,Exterminating and Pest Control Services,119,49827,1.45,-1,-0.002,14,4,10,0,-0.002
561439,Other Business Service Centers (including Copy Shops) ,116,79807,5.48,-31,-0.046,12,5,7,-1,-0.009
313230,Nonwoven Fabric Mills,114,56203,15.25,-13,-0.022,11,6,7,-2,-0.016
327320,Ready-Mix Concrete Manufacturing,114,50673,2.09,3,0.006,11,5,7,0,-0.004
423110,Automobile and Other Motor Vehicle Merchant Wholesalers ,113,80617,1.59,68,0.199,11,5,7,0,-0.001
444120,Paint and Wallpaper Retailers ,113,43625,5.36,82,0.298,14,7,8,0,-0.003
812113,Nail Salons ,112,30916,0.88,39,0.088,13,6,7,0,-0.002
541940,Veterinary Services ,111,45238,0.45,16,0.031,13,5,8,0,0.003
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing ",109,84333,2.1,55,0.151,10,4,6,0,-0.005
541512,Computer Systems Design Services ,109,71773,0.18,3,0.006,8,3,5,1,0.009
449110,Furniture Retailers ,108,46965,1.08,-2,-0.004,12,6,7,-1,-0.011
923120,Administration of Public Health Programs ,106,45621,0.71,9,0.018,9,4,5,-1,-0.005
541511,Custom Computer Programming Services ,105,140167,0.19,-20,-0.035,8,3,4,1,0.008
324122,Asphalt Shingle and Coating Materials Manufacturing ,104,81141,14.67,59,0.182,8,3,6,-1,-0.009
458310,Jewelry Retailers ,104,38126,1.55,17,0.037,11,6,7,-1,-0.013
812210,Funeral Homes and Funeral Services ,104,40713,1.93,11,0.022,12,6,7,0,-0.005
925110,Administration of Housing Programs ,104,53488,3.1,3,0.006,9,4,6,0,-0.004
332312,Fabricated Structural Metal Manufacturing ,103,61571,1.99,50,0.144,10,4,6,0,-0.003
812199,Other Personal Care Services ,103,14938,0.84,52,0.153,12,5,7,0,0
517111,Wired Telecommunications Carriers ,101,93484,0.45,-43,-0.069,7,3,5,-1,-0.015
519210,Libraries and Archives ,100,32086,1.19,37,0.096,8,3,5,1,0.007
623210,Residential Intellectual and Developmental Disability Facilities ,100,39531,0.38,87,0.486,13,7,6,0,-0.002
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",98,63006,2.48,20,0.047,11,5,6,0,0
238162,Nonresidential roofing contractors,97,128109,1.58,-43,-0.07,7,3,5,0,-0.001
922110,Courts ,96,104271,0.87,-12,-0.023,8,4,5,-1,-0.01
238991,All other residential trade contractors,94,46271,0.54,39,0.113,8,3,5,0,0.001
238211,Residential electrical contractors,93,36749,0.42,-15,-0.029,8,3,5,0,0
337110,Wood Kitchen Cabinet and Countertop Manufacturing,93,40674,1.52,25,0.066,8,4,5,-1,-0.011
624190,Other Individual and Family Services ,93,42233,0.27,1,0.002,10,4,5,1,0.011
444180,Other Building Material Dealers ,92,47863,0.72,44,0.14,12,5,7,0,-0.004
485113,Bus and Other Motor Vehicle Transit Systems ,92,47439,1.57,40,0.123,10,6,4,0,-0.002
922130,Legal Counsel and Prosecution ,91,93066,1.46,8,0.019,7,3,5,-1,-0.007
541513,Computer Facilities Management Services ,89,78315,2.03,41,0.132,7,2,4,1,0.01
445131,Convenience Retailers ,88,32612,1.03,-13,-0.026,13,6,7,-1,-0.007
624221,Temporary Shelters ,87,47172,1.77,35,0.109,9,4,5,0,0.003
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities ",86,27780,2.85,79,0.667,11,4,6,0,0.001
624310,Vocational Rehabilitation Services ,85,37478,0.54,-56,-0.096,8,5,5,-2,-0.018
332322,Sheet Metal Work Manufacturing ,84,54116,1.39,5,0.013,8,3,5,0,-0.002
459120,"Hobby, Toy, and Game Retailers ",84,23096,1.21,-34,-0.066,10,5,6,-1,-0.014
713950,Bowling Centers,83,17213,2.28,7,0.018,13,6,8,0,0.001
522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation ",82,70429,1.77,9,0.023,6,3,4,-1,-0.006
621999,All Other Miscellaneous Ambulatory Health Care Services ,82,62339,1.36,24,0.073,8,3,4,0,0.005
445320,"Beer, Wine, and Liquor Retailers ",81,25971,0.85,4,0.01,12,6,6,-1,-0.008
523940,Portfolio Management and Investment Advice ,81,96385,0.28,-9,-0.021,6,3,4,0,0
441120,Used Car Dealers ,79,56015,0.79,-20,-0.044,8,4,5,0,-0.003
621493,Freestanding Ambulatory Surgical and Emergency Centers ,79,44827,0.83,-14,-0.033,7,3,3,1,0.013
812111,Barber Shops ,79,18762,1.94,-1,-0.003,9,4,5,0,-0.002
562111,Solid Waste Collection ,77,95629,0.77,-23,-0.051,8,3,5,0,0
621320,Offices of Optometrists,77,58274,0.95,43,0.177,7,4,4,0,0.002
423710,Hardware Merchant Wholesalers ,75,89936,1.6,-32,-0.069,7,3,4,0,-0.002
484110,"General Freight Trucking, Local ",75,38778,0.44,46,0.211,7,3,4,0,0
238911,Residential site preparation contractors,74,29072,0.51,1,0.004,6,3,4,0,0.001
236115,New Single-Family Housing Construction (except For-Sale Builders) ,72,53559,0.28,-2,-0.004,6,2,3,0,0
322219,Other Paperboard Container Manufacturing ,71,69027,5.47,-6,-0.016,6,3,4,-1,-0.011
484210,Used Household and Office Goods Moving,70,33277,1.46,-21,-0.052,7,3,4,0,-0.004
339116,Dental Laboratories ,69,56290,3.09,5,0.016,7,3,4,0,-0.001
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,69,92503,1.11,-1,-0.002,7,3,4,0,-0.002
423930,Recyclable Material Merchant Wholesalers ,69,54560,1.31,-14,-0.037,7,3,4,0,-0.002
459999,All Other Miscellaneous Retailers ,69,31465,0.64,5,0.015,8,4,5,-1,-0.011
722320,Caterers,69,17391,0.65,7,0.022,11,5,6,0,0
722330,Mobile Food Services,69,12196,1.35,39,0.184,10,4,6,0,-0.001
922150,Parole Offices and Probation Offices ,69,55473,3.48,11,0.034,6,3,4,0,-0.005
212313,Crushed and Broken Granite Mining and Quarrying ,65,81415,20.18,-13,-0.035,6,2,4,0,0.001
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",65,67883,2.72,15,0.055,6,3,4,0,-0.002
811210,Electronic and Precision Equipment Repair and Maintenance ,65,43629,1.15,-10,-0.028,6,2,3,0,-0.001
524113,Direct Life Insurance Carriers ,64,96419,0.6,-100,-0.172,5,2,3,0,-0.003
621330,Offices of Mental Health Practitioners (except Physicians) ,64,46817,0.35,27,0.114,6,2,3,1,0.015
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,63,70524,1.09,60,0.764,6,2,3,0,-0.006
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",63,54588,1.24,-17,-0.046,7,3,4,0,-0.002
238351,Residential finish carpentry contractors,62,40667,0.57,1,0.005,5,2,3,0,-0.002
456130,Optical Goods Retailers ,62,47822,1.67,9,0.032,7,3,4,0,-0.005
459510,Used Merchandise Retailers ,62,28758,0.48,18,0.069,7,4,4,-1,-0.017
621112,"Offices of Physicians, Mental Health Specialists ",60,51989,1.12,31,0.159,4,2,2,0,0
713990,All Other Amusement and Recreation Industries ,59,20646,0.33,-3,-0.008,9,4,5,0,0.001
921130,Public Finance Activities ,59,83940,0.4,22,0.1,5,2,3,-1,-0.009
237130,Power and Communication Line and Related Structures Construction ,58,67000,0.46,6,0.024,5,2,3,0,0.002
423130,Tire and Tube Merchant Wholesalers ,58,44563,3.29,-5,-0.017,6,2,3,0,-0.001
423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,58,53154,1.05,8,0.028,5,2,3,0,-0.003
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining ",57,61163,18.19,57,n/a,5,2,3,0,0.001
238292,Other nonresidential equipment contractors,57,89544,0.76,10,0.038,5,2,3,0,-0.001
561440,Collection Agencies,57,52451,1.29,-10,-0.033,6,3,4,0,-0.009
925120,Administration of Urban Planning and Community and Rural Development ,57,74397,2.61,-4,-0.014,5,2,3,0,-0.005
923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) ",56,104082,0.26,-7,-0.025,4,2,3,-1,-0.011
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",55,62892,0.93,32,0.192,5,2,3,0,-0.002
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",55,94925,1.62,-10,-0.033,5,2,3,0,-0.002
561422,Telemarketing Bureaus and Other Contact Centers ,55,45799,0.35,11,0.045,6,3,3,0,-0.009
611691,Exam Preparation and Tutoring ,55,55799,0.86,26,0.136,6,3,4,-1,-0.009
335314,Relay and Industrial Control Manufacturing ,53,74593,2.49,53,n/a,5,2,3,0,-0.001
449129,All Other Home Furnishings Retailers ,53,18957,0.8,-26,-0.077,6,3,4,-1,-0.011
488410,Motor Vehicle Towing,53,51088,1.32,-3,-0.01,5,2,3,0,-0.001
541310,Architectural Services,52,113686,0.47,-5,-0.017,4,2,2,0,-0.002
812220,Cemeteries and Crematories ,52,48349,2.81,9,0.037,6,3,3,0,-0.005
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers ",51,24245,0.54,20,0.102,6,3,4,-1,-0.012
541213,Tax Preparation Services ,51,29145,0.78,-9,-0.031,4,2,2,0,-0.003
621399,Offices of All Other Miscellaneous Health Practitioners ,51,58222,0.39,6,0.025,5,2,2,0,0.002
311230,Breakfast Cereal Manufacturing,50,52024,7.45,20,0.105,5,2,3,0,-0.005
813319,Other Social Advocacy Organizations ,50,49893,0.71,-11,-0.039,5,2,3,0,0.001
924120,Administration of Conservation Programs ,50,59015,0.39,-101,-0.199,4,2,2,0,-0.006
115310,Support Activities for Forestry,49,123043,3.58,-19,-0.062,5,2,3,0,-0.005
311421,Fruit and Vegetable Canning ,49,38382,1.73,21,0.118,5,2,3,0,-0.006
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,49,61589,2.78,2,0.008,5,2,3,0,-0.002
459910,Pet and Pet Supplies Retailers ,49,28240,0.69,10,0.049,6,3,3,0,-0.009
811191,Automotive Oil Change and Lubrication Shops ,49,36431,1.18,11,0.05,6,2,3,0,-0.005
814110,Private Households,49,52114,0.47,-33,-0.097,7,4,4,0,-0.005
459210,Book Retailers and News Dealers ,48,19460,1.33,-6,-0.024,6,3,4,-1,-0.021
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,46,88136,0.9,14,0.076,4,2,3,0,-0.005
516110,Radio Broadcasting Stations ,46,83433,1.69,0,-0.001,4,2,3,-1,-0.012
541850,Indoor and Outdoor Display Advertising,46,59936,2.65,18,0.107,4,2,2,0,-0.003
314910,Textile Bag and Canvas Mills ,45,41582,3.8,36,0.373,4,2,3,-1,-0.017
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,45,91259,0.94,29,0.238,4,2,3,0,-0.005
441222,Boat Dealers ,45,58001,2.26,16,0.09,5,2,3,0,0
459420,"Gift, Novelty, and Souvenir Retailers ",45,22904,0.56,6,0.027,5,3,3,-1,-0.017
813930,Labor Unions and Similar Labor Organizations ,45,12577,0.81,2,0.01,3,2,2,0,-0.009
238321,Residential painting contractors,44,29871,0.37,-25,-0.087,4,2,2,0,0.001
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,44,132379,1.01,8,0.041,4,2,3,0,-0.002
541410,Interior Design Services,44,46534,0.93,5,0.026,3,1,2,0,-0.003
812910,Pet Care (except Veterinary) Services ,44,19756,0.35,14,0.081,6,2,4,0,0.004
327215,Glass Product Manufacturing Made of Purchased Glass ,43,63534,1.84,20,0.137,4,2,2,0,-0.004
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance ",43,69181,0.64,-136,-0.247,4,2,2,0,-0.004
485320,Limousine Service,43,10599,0.5,-4,-0.016,4,2,2,0,0.004
312111,Soft Drink Manufacturing ,42,56405,0.98,42,n/a,5,2,3,0,0.006
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",42,69887,1.46,42,n/a,3,1,2,0,-0.002
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists ",42,42830,0.15,-29,-0.1,4,2,2,1,0.015
813410,Civic and Social Organizations ,42,37543,0.22,-2,-0.007,6,3,4,0,-0.002
312120,Breweries,41,37578,0.75,39,0.783,5,2,3,0,0.006
321920,Wood Container and Pallet Manufacturing,41,42932,1.2,12,0.07,4,2,2,0,-0.004
492210,Local Messengers and Local Delivery,41,17444,0.27,18,0.123,4,2,2,0,0.006
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",41,70589,0.16,16,0.107,3,1,2,0,0.011
212321,Construction Sand and Gravel Mining ,40,63564,2.4,-51,-0.151,4,1,2,0,0.001
321113,Sawmills ,40,51370,0.98,0,0,4,2,3,0,-0.007
532111,Passenger Car Rental ,40,53673,0.69,-10,-0.044,4,2,2,0,-0.002
611620,Sports and Recreation Instruction ,40,21984,0.32,3,0.016,5,2,3,0,-0.004
237110,Water and Sewer Line and Related Structures Construction ,39,74525,0.34,-5,-0.026,3,1,2,0,0
332311,Prefabricated Metal Building and Component Manufacturing ,39,60206,1.96,34,0.55,4,1,2,0,-0.003
332313,Plate Work Manufacturing ,39,75862,1.53,-5,-0.025,4,1,2,0,-0.003
423420,Office Equipment Merchant Wholesalers ,39,50904,1.16,-18,-0.074,3,1,2,0,0
522291,Consumer Lending ,39,56170,0.83,-11,-0.048,3,1,2,0,-0.006
531390,Other Activities Related to Real Estate ,39,68547,0.41,-9,-0.04,3,2,2,0,-0.004
541613,Marketing Consulting Services ,39,72534,0.19,12,0.079,3,1,2,0,0.002
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers ,37,63655,2.84,-4,-0.023,4,2,2,0,-0.004
456199,All Other Health and Personal Care Retailers ,37,59895,0.81,-12,-0.054,4,2,2,0,-0.007
457210,Fuel Dealers ,37,72193,1.03,31,0.433,3,2,2,-1,-0.016
485310,Taxi and Ridesharing Services ,37,10599,0.29,14,0.101,4,2,2,0,0.004
812331,Linen Supply ,37,49375,1.12,21,0.182,4,2,2,0,-0.004
311811,Retail Bakeries ,36,12905,0.57,22,0.213,5,2,3,0,0
459310,Florists ,36,20819,1.1,4,0.026,4,2,2,-1,-0.015
481111,Scheduled Passenger Air Transportation ,36,84146,0.14,5,0.028,4,2,2,0,-0.001
532289,All Other Consumer Goods Rental ,35,42581,1.04,12,0.088,3,1,2,0,-0.005
541430,Graphic Design Services,35,46570,0.78,3,0.021,3,1,2,0,-0.003
238311,Residential drywall contractors,34,60257,0.41,1,0.008,3,1,2,0,-0.001
449121,Floor Covering Retailers ,34,47295,0.92,-7,-0.039,4,2,2,0,-0.011
485999,All Other Transit and Ground Passenger Transportation ,34,32002,1.37,-17,-0.076,4,2,2,0,0.004
315250,Cut and Sew Apparel Manufacturing (except Contractors) ,33,39824,1.35,-10,-0.052,3,2,2,-1,-0.034
488510,Freight Transportation Arrangement ,33,43270,0.24,8,0.057,3,1,2,0,0.003
621512,Diagnostic Imaging Centers ,33,54579,0.73,-31,-0.124,3,1,2,0,0.001
236210,Industrial Building Construction ,32,60362,0.37,-4,-0.023,2,1,2,0,0
311911,Roasted Nuts and Peanut Butter Manufacturing ,32,35908,3.71,11,0.086,4,1,2,0,0.003
444230,Outdoor Power Equipment Retailers ,32,43532,1.95,8,0.056,4,2,2,0,-0.004
561410,Document Preparation Services,32,63352,0.94,-6,-0.034,3,1,2,0,-0.009
561740,Carpet and Upholstery Cleaning Services,32,28197,1.42,0,0,4,2,2,0,-0.004
