SOC,Occupation,Empl,Mean Ann Wages2,LQ,Unempl,Unempl Rate,Online Job Ads,Empl Change,Ann %,Total Demand,Exits,Transfers,Empl Growth,Ann % Growth
41-1011,First-Line Supervisors of Retail Sales Workers,695,48300,1.23,n/a,n/a,n/a,1,0,59,26,39,-5,-0.008
43-4171,Receptionists and Information Clerks,628,34900,1.25,n/a,n/a,n/a,-56,-0.017,75,37,41,-4,-0.006
25-2021,"Elementary School Teachers, Except Special Education",620,64700,0.9,n/a,n/a,n/a,9,0.003,39,21,20,-2,-0.003
13-2011,Accountants and Auditors,600,82700,0.81,n/a,n/a,n/a,-55,-0.018,43,19,25,-1,-0.001
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",588,84800,0.92,n/a,n/a,n/a,14,0.005,47,20,31,-3,-0.005
53-7051,Industrial Truck and Tractor Operators,584,43100,1.43,n/a,n/a,n/a,44,0.016,50,19,35,-4,-0.006
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",556,54400,11.3,n/a,n/a,n/a,195,0.09,40,19,29,-9,-0.016
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",550,47300,0.73,n/a,n/a,n/a,-101,-0.033,54,34,26,-7,-0.012
53-3033,Light Truck Drivers,540,47800,1.07,n/a,n/a,n/a,37,0.014,55,24,30,1,0.001
29-2061,Licensed Practical and Licensed Vocational Nurses,539,59400,1.62,n/a,n/a,n/a,-37,-0.013,41,22,20,-2,-0.003
43-6013,Medical Secretaries and Administrative Assistants,532,42500,1.23,n/a,n/a,n/a,53,0.021,49,24,26,-1,-0.002
25-9045,"Teaching Assistants, Except Postsecondary",520,29000,0.77,n/a,n/a,n/a,18,0.007,61,30,33,-2,-0.004
35-2021,Food Preparation Workers,493,32500,1.09,n/a,n/a,n/a,-28,-0.011,76,40,41,-5,-0.01
49-3023,Automotive Service Technicians and Mechanics,465,56900,1.31,n/a,n/a,n/a,-7,-0.003,38,15,23,0,0
37-2012,Maids and Housekeeping Cleaners,459,27700,0.91,n/a,n/a,n/a,-78,-0.031,63,35,29,-1,-0.003
11-9199,"Managers, All Other",458,114400,1.44,n/a,n/a,n/a,-8,-0.003,33,13,20,-1,-0.002
23-1011,Lawyers,451,130900,1.17,n/a,n/a,n/a,-16,-0.007,14,8,6,0,-0.001
31-1121,Home Health Aides,443,27900,0.77,n/a,n/a,n/a,-10,-0.004,72,39,28,5,0.011
13-2053,Insurance Underwriters,438,81800,7.85,n/a,n/a,n/a,-329,-0.106,25,13,16,-4,-0.008
37-3011,Landscaping and Groundskeeping Workers,436,37100,0.91,n/a,n/a,n/a,-44,-0.019,55,22,33,0,-0.001
51-2092,Team Assemblers,434,39600,0.71,n/a,n/a,n/a,18,0.009,44,18,27,-2,-0.004
13-1111,Management Analysts,426,100200,0.94,n/a,n/a,n/a,-107,-0.044,35,15,19,1,0.003
43-5071,"Shipping, Receiving, and Inventory Clerks",423,40300,0.97,n/a,n/a,n/a,26,0.013,31,15,22,-6,-0.014
13-1071,Human Resources Specialists,414,65900,0.89,n/a,n/a,n/a,24,0.012,32,12,21,0,0
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",414,66200,0.78,n/a,n/a,n/a,10,0.005,24,13,13,-1,-0.003
51-1011,First-Line Supervisors of Production and Operating Workers,412,72100,1.18,n/a,n/a,n/a,61,0.033,35,14,24,-3,-0.007
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",397,65700,0.65,n/a,n/a,n/a,8,0.004,36,12,26,-1,-0.004
33-9032,Security Guards,391,38400,0.61,n/a,n/a,n/a,-87,-0.04,46,19,29,-3,-0.007
15-1252,Software Developers,389,123300,0.46,n/a,n/a,n/a,-26,-0.013,22,7,13,3,0.007
11-3031,Financial Managers,388,157200,0.92,n/a,n/a,n/a,-56,-0.026,30,10,16,4,0.009
47-2111,Electricians,372,60800,0.97,n/a,n/a,n/a,30,0.017,34,12,20,1,0.004
39-9011,Childcare Workers,359,28200,1.17,n/a,n/a,n/a,41,0.024,57,27,32,-2,-0.006
43-9041,Insurance Claims and Policy Processing Clerks,359,54100,3.11,n/a,n/a,n/a,-309,-0.117,25,13,16,-4,-0.011
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",355,64200,1.14,n/a,n/a,n/a,48,0.03,33,12,22,-1,-0.002
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",354,78300,1.15,n/a,n/a,n/a,35,0.021,27,12,16,-1,-0.003
41-3021,Insurance Sales Agents,350,71600,1.44,n/a,n/a,n/a,-141,-0.065,26,12,15,-1,-0.002
33-3051,Police and Sheriffs Patrol Officers,340,52200,1,n/a,n/a,n/a,24,0.015,24,8,16,-1,-0.002
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",334,66400,1.08,n/a,n/a,n/a,6,0.004,21,11,11,-1,-0.003
51-9199,"Production Workers, All Other",326,50400,2.32,n/a,n/a,n/a,12,0.007,31,12,22,-3,-0.008
43-5052,Postal Service Mail Carriers,325,60800,1.93,n/a,n/a,n/a,20,0.013,19,11,11,-3,-0.009
29-1171,Nurse Practitioners,320,122100,1.97,n/a,n/a,n/a,66,0.048,24,8,7,9,0.029
13-1082,Project Management Specialists,317,98300,0.62,n/a,n/a,n/a,27,0.018,21,7,14,0,-0.001
13-1161,Market Research Analysts and Marketing Specialists,313,69700,0.7,n/a,n/a,n/a,20,0.014,26,9,17,0,0
35-3011,Bartenders,301,31100,0.79,n/a,n/a,n/a,68,0.052,49,16,33,0,0.001
53-3051,"Bus Drivers, School",292,39100,1.48,n/a,n/a,n/a,15,0.01,44,32,13,-1,-0.003
29-2052,Pharmacy Technicians,291,41100,1.19,n/a,n/a,n/a,24,0.018,26,11,15,0,0.001
43-3021,Billing and Posting Clerks,280,46000,1.29,n/a,n/a,n/a,-55,-0.035,26,12,15,-1,-0.005
11-9111,Medical and Health Services Managers,278,154500,0.94,n/a,n/a,n/a,40,0.032,25,8,13,4,0.016
23-2011,Paralegals and Legal Assistants,269,53500,1.44,n/a,n/a,n/a,0,0,26,8,19,-1,-0.005
15-1232,Computer User Support Specialists,265,59800,0.75,n/a,n/a,n/a,-14,-0.01,13,6,9,-3,-0.011
47-2061,Construction Laborers,263,40900,0.48,n/a,n/a,n/a,24,0.02,21,8,12,0,0.001
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,261,74200,0.63,n/a,n/a,n/a,29,0.024,19,8,11,0,0
49-9041,Industrial Machinery Mechanics,256,65600,1.18,n/a,n/a,n/a,63,0.058,22,10,11,1,0.005
41-2022,Parts Salespersons,253,42500,1.87,n/a,n/a,n/a,25,0.021,26,11,16,0,-0.002
53-7064,"Packers and Packagers, Hand",253,30100,0.81,n/a,n/a,n/a,-43,-0.031,29,14,18,-3,-0.013
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",250,26700,1.15,n/a,n/a,n/a,25,0.021,60,32,29,-2,-0.007
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,246,29400,0.93,n/a,n/a,n/a,19,0.016,44,22,21,0,0.001
13-1151,Training and Development Specialists,241,66500,1.09,n/a,n/a,n/a,4,0.003,21,7,13,1,0.004
11-2022,Sales Managers,236,137100,0.76,n/a,n/a,n/a,11,0.009,16,5,12,-1,-0.003
25-9099,"Educational Instruction and Library Workers, All Other",233,24800,3.97,n/a,n/a,n/a,8,0.007,21,11,10,-1,-0.003
29-1229,"Physicians, All Other",229,174000,1.4,n/a,n/a,n/a,19,0.018,5,5,1,0,-0.001
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",229,43900,0.77,n/a,n/a,n/a,25,0.023,24,10,16,-2,-0.008
29-1051,Pharmacists,228,133200,1.36,n/a,n/a,n/a,13,0.011,9,5,3,0,0.002
53-3031,Driver/Sales Workers,226,38900,1.05,n/a,n/a,n/a,-3,-0.003,23,10,13,1,0.003
53-7061,Cleaners of Vehicles and Equipment,226,30100,1.16,n/a,n/a,n/a,23,0.022,29,13,17,0,-0.001
35-9021,Dishwashers,220,29300,0.91,n/a,n/a,n/a,-9,-0.008,33,17,17,-1,-0.005
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",215,62600,0.9,n/a,n/a,n/a,58,0.064,19,7,10,2,0.008
25-2011,"Preschool Teachers, Except Special Education",213,43400,0.94,n/a,n/a,n/a,49,0.053,24,10,14,0,0
43-6011,Executive Secretaries and Executive Administrative Assistants,212,65000,0.86,n/a,n/a,n/a,-167,-0.11,19,9,11,-2,-0.008
43-5061,"Production, Planning, and Expediting Clerks",207,59800,1.07,n/a,n/a,n/a,22,0.023,16,7,11,-2,-0.008
29-2034,Radiologic Technologists and Technicians,206,67500,1.75,n/a,n/a,n/a,-4,-0.004,10,6,5,0,-0.001
25-3099,"Teachers and Instructors, All Other",205,56400,3.4,n/a,n/a,n/a,4,0.004,23,12,12,-1,-0.003
11-3021,Computer and Information Systems Managers,198,157200,0.6,n/a,n/a,n/a,-7,-0.007,14,4,9,1,0.007
31-9091,Dental Assistants,191,41900,0.99,n/a,n/a,n/a,11,0.012,25,10,15,0,0.001
25-3031,"Substitute Teachers, Short-Term",189,58800,0.79,n/a,n/a,n/a,-1,-0.001,22,11,11,0,0
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",183,57600,0.89,n/a,n/a,n/a,24,0.029,16,5,10,0,0.002
51-4121,"Welders, Cutters, Solderers, and Brazers",183,52100,0.85,n/a,n/a,n/a,40,0.05,17,5,12,0,-0.002
35-2011,"Cooks, Fast Food",181,27200,0.52,n/a,n/a,n/a,-25,-0.026,21,11,13,-4,-0.021
21-1012,"Educational, Guidance, and Career Counselors and Advisors",180,62400,1.04,n/a,n/a,n/a,9,0.01,14,6,8,0,0
21-1093,Social and Human Service Assistants,180,38300,0.81,n/a,n/a,n/a,9,0.01,19,8,11,1,0.003
33-3012,Correctional Officers and Jailers,177,47200,0.96,n/a,n/a,n/a,-26,-0.027,13,6,9,-2,-0.013
33-2011,Firefighters,176,50800,1.07,n/a,n/a,n/a,9,0.011,13,3,9,0,-0.002
13-1041,Compliance Officers,175,60300,0.88,n/a,n/a,n/a,1,0.002,13,6,7,0,-0.002
25-1199,"Postsecondary Teachers, All Other",172,65100,2.25,n/a,n/a,n/a,-1,-0.002,11,7,5,-1,-0.003
47-2073,Operating Engineers and Other Construction Equipment Operators,172,49200,0.7,n/a,n/a,n/a,34,0.045,14,6,8,0,-0.002
21-1022,Healthcare Social Workers,164,63100,1.66,n/a,n/a,n/a,10,0.013,14,6,8,0,0.002
41-2021,Counter and Rental Clerks,162,37800,0.78,n/a,n/a,n/a,-18,-0.021,17,8,9,0,-0.002
35-2012,"Cooks, Institution and Cafeteria",161,33700,0.71,n/a,n/a,n/a,7,0.009,23,11,13,0,-0.002
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,158,62400,1.07,n/a,n/a,n/a,3,0.004,12,5,7,-1,-0.003
35-3041,"Food Servers, Nonrestaurant",155,32100,1.08,n/a,n/a,n/a,9,0.012,25,13,13,0,-0.003
15-1211,Computer Systems Analysts,154,88500,0.61,n/a,n/a,n/a,-29,-0.034,9,4,4,0,0.002
29-1071,Physician Assistants,154,124700,1.85,n/a,n/a,n/a,21,0.03,10,3,5,2,0.015
29-2099,"Health Technologists and Technicians, All Other",150,49800,1.61,n/a,n/a,n/a,18,0.026,10,5,5,0,0
15-1299,"Computer Occupations, All Other",146,95800,0.65,n/a,n/a,n/a,-19,-0.024,8,3,5,0,0.001
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",141,74600,0.81,n/a,n/a,n/a,7,0.01,13,5,7,0,0
29-1126,Respiratory Therapists,141,78700,1.99,n/a,n/a,n/a,5,0.007,8,4,3,1,0.006
41-3031,"Securities, Commodities, and Financial Services Sales Agents",141,80800,0.58,n/a,n/a,n/a,-15,-0.02,10,4,6,0,-0.002
29-1216,General Internal Medicine Physicians,140,294200,3.89,n/a,n/a,n/a,4,0.006,3,3,1,0,-0.002
11-3012,Administrative Services Managers,138,128700,1.07,n/a,n/a,n/a,23,0.037,11,4,6,0,-0.001
29-2011,Medical and Clinical Laboratory Technologists,138,66600,1.51,n/a,n/a,n/a,-13,-0.018,8,4,4,-1,-0.005
29-2072,Medical Records Specialists,137,49300,1.41,n/a,n/a,n/a,0,0,9,5,4,0,0.001
51-9111,Packaging and Filling Machine Operators and Tenders,137,41200,0.7,n/a,n/a,n/a,16,0.025,14,7,8,-1,-0.005
29-2042,Emergency Medical Technicians,136,43900,1.45,n/a,n/a,n/a,-13,-0.018,10,3,6,0,0
43-4081,"Hotel, Motel, and Resort Desk Clerks",136,27300,1.02,n/a,n/a,n/a,-13,-0.019,21,9,12,0,-0.002
11-9051,Food Service Managers,134,65400,1.09,n/a,n/a,n/a,0,0,15,5,10,0,0.001
13-2051,Financial and Investment Analysts,134,87700,0.76,n/a,n/a,n/a,-19,-0.026,8,3,5,0,0
25-1071,"Health Specialties Teachers, Postsecondary",134,142900,1.17,n/a,n/a,n/a,26,0.045,11,5,4,1,0.009
49-9099,"Installation, Maintenance, and Repair Workers, All Other",134,48000,1.47,n/a,n/a,n/a,12,0.019,12,5,7,0,-0.004
39-9032,Recreation Workers,133,36000,0.83,n/a,n/a,n/a,7,0.011,26,10,17,0,-0.002
29-2012,Medical and Clinical Laboratory Technicians,132,66600,1.46,n/a,n/a,n/a,-9,-0.013,7,4,4,-1,-0.005
47-2152,"Plumbers, Pipefitters, and Steamfitters",131,54800,0.55,n/a,n/a,n/a,3,0.004,10,4,7,0,-0.001
29-1292,Dental Hygienists,124,77500,1.1,n/a,n/a,n/a,6,0.011,8,5,3,0,0.002
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,124,44400,1.39,n/a,n/a,n/a,-11,-0.017,14,6,8,0,-0.002
51-4041,Machinists,124,54900,0.83,n/a,n/a,n/a,-8,-0.012,12,5,7,0,-0.003
11-9032,"Education Administrators, Kindergarten through Secondary",122,98000,0.77,n/a,n/a,n/a,8,0.013,7,3,5,0,-0.003
15-1244,Network and Computer Systems Administrators,122,89600,0.75,n/a,n/a,n/a,-26,-0.038,4,2,3,-1,-0.011
33-1012,First-Line Supervisors of Police and Detectives,122,86100,1.57,n/a,n/a,n/a,8,0.014,7,3,5,0,-0.003
13-2072,Loan Officers,121,74000,0.82,n/a,n/a,n/a,-37,-0.052,7,3,5,0,-0.004
39-3091,Amusement and Recreation Attendants,121,23800,0.61,n/a,n/a,n/a,27,0.053,30,13,18,0,-0.001
29-1123,Physical Therapists,117,111500,0.88,n/a,n/a,n/a,-2,-0.003,5,2,2,0,0.004
25-9031,Instructional Coordinators,116,73800,1.1,n/a,n/a,n/a,3,0.006,10,6,5,0,-0.003
21-1021,"Child, Family, and School Social Workers",115,54000,0.59,n/a,n/a,n/a,3,0.005,10,4,5,0,0
29-1215,Family Medicine Physicians,115,318700,2.05,n/a,n/a,n/a,-6,-0.01,3,2,0,0,-0.003
29-2055,Surgical Technologists,114,57400,1.88,n/a,n/a,n/a,1,0.001,6,3,3,0,-0.001
31-9097,Phlebotomists,114,42700,1.57,n/a,n/a,n/a,7,0.012,14,6,8,0,0
27-1026,Merchandise Displayers and Window Trimmers,113,41500,1.19,n/a,n/a,n/a,30,0.065,11,5,6,0,-0.002
11-2021,Marketing Managers,112,143100,0.57,n/a,n/a,n/a,0,0,8,2,6,0,0
25-2052,"Special Education Teachers, Kindergarten and Elementary School",112,61500,0.97,n/a,n/a,n/a,-1,-0.002,7,4,4,0,-0.004
49-3093,Tire Repairers and Changers,112,38300,2.04,n/a,n/a,n/a,3,0.005,14,6,8,0,0.001
43-3071,Tellers,100,40200,0.59,n/a,n/a,n/a,-70,-0.101,8,5,5,-2,-0.019
35-2015,"Cooks, Short Order",99,26000,1.39,n/a,n/a,n/a,-13,-0.025,13,6,7,-1,-0.012
25-1194,"Career/Technical Education Teachers, Postsecondary",98,55200,1.74,n/a,n/a,n/a,0,0,7,4,3,0,-0.001
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",98,44700,0.9,n/a,n/a,n/a,-3,-0.006,8,3,5,-1,-0.007
11-3121,Human Resources Managers,97,133700,0.9,n/a,n/a,n/a,11,0.024,7,2,5,0,-0.001
11-9141,"Property, Real Estate, and Community Association Managers",97,68200,0.67,n/a,n/a,n/a,-9,-0.018,8,4,3,0,0
41-1012,First-Line Supervisors of Non-Retail Sales Workers,97,84900,0.87,n/a,n/a,n/a,-20,-0.038,7,3,4,0,-0.001
17-2112,Industrial Engineers,96,101900,0.54,n/a,n/a,n/a,20,0.048,6,2,3,0,0.001
51-3011,Bakers,95,32100,0.8,n/a,n/a,n/a,10,0.024,14,6,8,0,-0.002
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",94,61400,1.67,n/a,n/a,n/a,6,0.013,6,4,4,-1,-0.015
15-2051,Data Scientists,93,101600,0.78,n/a,n/a,n/a,12,0.027,7,2,3,2,0.023
17-2051,Civil Engineers,93,99900,0.5,n/a,n/a,n/a,0,0,5,2,3,0,0
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",93,55900,1.15,n/a,n/a,n/a,13,0.032,8,3,5,-1,-0.005
13-1081,Logisticians,92,76600,0.78,n/a,n/a,n/a,13,0.032,9,2,6,1,0.009
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",91,49000,1.8,n/a,n/a,n/a,0,0.001,7,3,6,-2,-0.017
27-3031,Public Relations Specialists,90,74500,0.63,n/a,n/a,n/a,-12,-0.026,7,3,5,0,-0.001
11-3051,Industrial Production Managers,89,138800,0.75,n/a,n/a,n/a,20,0.053,5,2,4,-1,-0.007
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",89,49600,0.59,n/a,n/a,n/a,6,0.014,11,5,6,0,0.002
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",89,59700,0.96,n/a,n/a,n/a,21,0.055,7,3,4,0,0.001
51-6011,Laundry and Dry-Cleaning Workers,89,29500,0.89,n/a,n/a,n/a,-8,-0.017,13,7,6,0,-0.001
11-9151,Social and Community Service Managers,87,80500,0.85,n/a,n/a,n/a,8,0.019,7,3,4,0,0.002
29-2031,Cardiovascular Technologists and Technicians,87,66500,2.72,n/a,n/a,n/a,0,0,5,2,2,0,-0.002
35-1011,Chefs and Head Cooks,87,53400,0.94,n/a,n/a,n/a,14,0.035,10,3,7,0,0.002
47-2031,Carpenters,86,50000,0.25,n/a,n/a,n/a,-7,-0.015,6,2,4,0,-0.002
25-3041,Tutors,85,40500,0.94,n/a,n/a,n/a,10,0.024,14,8,7,0,-0.003
51-2099,"Assemblers and Fabricators, All Other",85,39600,0.71,n/a,n/a,n/a,-14,-0.03,8,4,5,0,-0.005
51-9198,Helpers--Production Workers,85,43400,0.99,n/a,n/a,n/a,-26,-0.053,11,5,7,-2,-0.019
11-1011,Chief Executives,84,239900,0.8,n/a,n/a,n/a,-27,-0.055,5,3,3,0,-0.001
11-9021,Construction Managers,84,112500,0.47,n/a,n/a,n/a,12,0.03,7,2,4,0,0.003
43-4061,"Eligibility Interviewers, Government Programs",83,40400,1.05,n/a,n/a,n/a,1,0.002,7,3,4,0,-0.004
51-5112,Printing Press Operators,83,42300,1.16,n/a,n/a,n/a,6,0.016,7,3,5,-1,-0.013
11-3071,"Transportation, Storage, and Distribution Managers",82,120500,0.77,n/a,n/a,n/a,14,0.037,6,2,4,0,0
27-2022,Coaches and Scouts,81,48300,0.61,n/a,n/a,n/a,14,0.039,10,5,5,0,-0.001
43-4131,Loan Interviewers and Clerks,81,49200,0.92,n/a,n/a,n/a,-43,-0.081,6,3,4,0,-0.004
29-1122,Occupational Therapists,80,110300,0.99,n/a,n/a,n/a,2,0.006,4,2,2,0,0.006
49-3021,Automotive Body and Related Repairers,80,66200,1.01,n/a,n/a,n/a,-1,-0.002,6,3,3,0,-0.004
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",80,44300,3.32,n/a,n/a,n/a,7,0.019,8,4,5,-1,-0.009
53-3053,Shuttle Drivers and Chauffeurs,80,32900,0.64,n/a,n/a,n/a,-3,-0.006,11,7,4,0,0.001
11-9033,"Education Administrators, Postsecondary",78,121200,0.87,n/a,n/a,n/a,15,0.044,5,2,3,0,-0.004
29-2032,Diagnostic Medical Sonographers,78,72100,1.71,n/a,n/a,n/a,6,0.017,4,2,2,1,0.007
29-2053,Psychiatric Technicians,78,41600,1.11,n/a,n/a,n/a,19,0.059,8,3,4,1,0.012
43-3011,Bill and Account Collectors,78,40800,0.95,n/a,n/a,n/a,-65,-0.114,6,3,4,-1,-0.015
43-4031,"Court, Municipal, and License Clerks",78,42400,0.9,n/a,n/a,n/a,4,0.01,7,4,4,0,-0.003
43-9199,"Office and Administrative Support Workers, All Other",78,41900,0.81,n/a,n/a,n/a,-13,-0.031,7,3,4,-1,-0.014
29-2043,Paramedics,77,54700,1.5,n/a,n/a,n/a,-2,-0.004,3,1,2,0,-0.001
13-1051,Cost Estimators,76,74200,0.67,n/a,n/a,n/a,3,0.008,5,2,4,-1,-0.01
27-1024,Graphic Designers,76,56700,0.71,n/a,n/a,n/a,1,0.002,5,2,4,0,-0.005
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",74,47200,1.15,n/a,n/a,n/a,-4,-0.01,7,3,5,0,-0.002
37-2021,Pest Control Workers,73,46500,1.41,n/a,n/a,n/a,-1,-0.003,9,2,7,0,0
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",73,43800,0.84,n/a,n/a,n/a,4,0.012,6,3,4,-1,-0.013
13-2052,Personal Financial Advisors,72,222000,0.51,n/a,n/a,n/a,1,0.001,5,2,2,0,0.005
25-3021,Self-Enrichment Teachers,72,53300,0.45,n/a,n/a,n/a,12,0.038,8,4,4,0,-0.001
39-2021,Animal Caretakers,72,30100,0.49,n/a,n/a,n/a,28,0.102,13,5,8,0,0.006
29-1127,Speech-Language Pathologists,71,95100,0.77,n/a,n/a,n/a,0,-0.001,4,2,2,0,0.007
29-1214,Emergency Medicine Physicians,71,272900,3.83,n/a,n/a,n/a,4,0.012,2,1,0,0,-0.002
33-3021,Detectives and Criminal Investigators,71,75700,1.24,n/a,n/a,n/a,0,0,4,2,3,0,-0.005
39-9031,Exercise Trainers and Group Fitness Instructors,70,56700,0.42,n/a,n/a,n/a,14,0.044,13,4,8,0,0.004
43-3051,Payroll and Timekeeping Clerks,67,57100,0.84,n/a,n/a,n/a,-14,-0.037,5,3,3,-2,-0.023
49-3011,Aircraft Mechanics and Service Technicians,67,59100,0.93,n/a,n/a,n/a,22,0.081,5,2,3,0,-0.001
25-2058,"Special Education Teachers, Secondary School",66,69000,0.84,n/a,n/a,n/a,-1,-0.002,4,2,2,0,-0.003
51-3021,Butchers and Meat Cutters,66,35900,0.92,n/a,n/a,n/a,-1,-0.002,7,3,5,0,-0.005
53-6031,Automotive and Watercraft Service Attendants,66,30000,1.27,n/a,n/a,n/a,9,0.03,9,3,6,0,-0.006
29-2057,Ophthalmic Medical Technicians,65,40900,1.63,n/a,n/a,n/a,18,0.069,9,4,5,1,0.013
39-9041,Residential Advisors,65,35500,1.5,n/a,n/a,n/a,8,0.026,12,5,7,0,0
31-1132,Orderlies,64,33400,2.35,n/a,n/a,n/a,-4,-0.012,9,4,5,0,-0.002
43-5051,Postal Service Clerks,64,64400,1.64,n/a,n/a,n/a,4,0.013,5,3,2,-1,-0.009
25-4022,Librarians and Media Collections Specialists,63,61800,0.97,n/a,n/a,n/a,2,0.006,6,3,2,0,-0.003
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",63,100000,0.42,n/a,n/a,n/a,-17,-0.047,5,2,3,0,-0.005
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",63,47100,2.23,n/a,n/a,n/a,-14,-0.038,5,2,4,0,-0.005
29-1021,"Dentists, General",62,218000,1.05,n/a,n/a,n/a,4,0.014,2,1,0,0,0.001
13-1022,"Wholesale and Retail Buyers, Except Farm Products",61,74400,0.99,n/a,n/a,n/a,-2,-0.007,6,2,3,0,0.002
25-1121,"Art, Drama, and Music Teachers, Postsecondary",61,82000,1.2,n/a,n/a,n/a,10,0.036,4,2,2,0,-0.005
25-2012,"Kindergarten Teachers, Except Special Education",61,67200,1.05,n/a,n/a,n/a,-1,-0.005,6,3,4,0,-0.003
41-9022,Real Estate Sales Agents,61,56600,0.62,n/a,n/a,n/a,-14,-0.04,5,3,2,0,-0.001
47-2211,Sheet Metal Workers,61,50200,1.01,n/a,n/a,n/a,1,0.002,5,2,3,0,-0.003
53-7081,Refuse and Recyclable Material Collectors,61,46400,0.85,n/a,n/a,n/a,-13,-0.037,7,3,4,0,-0.004
